<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.09	14:00:00	77010	77102	76593	76678	145900	36579	1
2014.01.09	16:00:00	76686	76809	76362	76524	143310	37571	1
2014.01.10	08:00:00	76971	77017	76022	76377	70430	20859	1
2014.01.10	10:00:00	76400	77295	76308	76894	236390	64147	1
2014.01.10	12:00:00	76902	77742	76871	77434	224700	58263	1
2014.01.10	14:00:00	77426	77519	76755	76855	157990	40102	1
2014.01.10	16:00:00	76848	77179	76840	77064	91900	24723	1
2014.01.13	08:00:00	76832	77002	76678	76871	22200	5971	1
2014.01.13	10:00:00	76855	77550	76832	77403	156730	40460	1
2014.01.13	12:00:00	77395	77496	76817	76925	169550	42518	1
2014.01.13	14:00:00	76917	76994	76493	76539	106388	32774	1
2014.01.13	16:00:00	76539	76732	76400	76431	592691	27631	1
2014.01.14	08:00:00	76400	76570	76269	76346	27100	7215	1
2014.01.14	10:00:00	76331	77017	76200	76601	190470	50856	1
2014.01.14	12:00:00	76585	77218	76485	77033	182140	49341	1
2014.01.14	14:00:00	77033	77280	76848	77125	148790	40897	1
2014.01.14	16:00:00	77118	77148	76886	77017	114330	33901	1
2014.01.15	08:00:00	77033	77411	77002	77380	34540	9993	1
2014.01.15	10:00:00	77388	77434	77064	77303	134650	36135	1
2014.01.15	12:00:00	77303	77750	77226	77496	172590	45847	1
2014.01.15	14:00:00	77480	77904	77334	77688	172450	46956	1
2014.01.15	16:00:00	77688	77897	77496	77496	118620	33427	1
2014.01.16	08:00:00	77357	78267	77264	77974	57460	17112	1
2014.01.16	10:00:00	77958	78344	77580	77642	187180	50542	1
2014.01.16	12:00:00	77642	78066	77148	77287	209080	56185	1
2014.01.16	14:00:00	77280	77310	76863	77033	136080	36942	1
2014.01.16	16:00:00	77033	77249	76886	76986	115090	32400	1
2014.01.17	08:00:00	77125	77364	77094	77318	28620	7985	1
2014.01.17	10:00:00	77310	77341	76323	76624	166640	46398	1
2014.01.17	12:00:00	76632	76747	76292	76423	149960	38896	1
2014.01.17	14:00:00	76431	76724	76308	76454	107050	30375	1
2014.01.17	16:00:00	76454	76493	76153	76184	117640	35158	1
2014.01.20	08:00:00	76215	76277	75860	75999	17420	5051	1
2014.01.20	10:00:00	75991	76354	75922	76230	70130	18187	1
2014.01.20	12:00:00	76238	76323	75953	76007	40100	11686	1
2014.01.20	14:00:00	75999	76038	75529	75583	53270	17420	1
2014.01.20	16:00:00	75583	75660	75359	75467	36890	14226	1
2014.01.21	08:00:00	75853	75999	75606	75853	43120	11732	1
2014.01.21	10:00:00	75853	75930	75158	75637	177840	48907	1
2014.01.21	12:00:00	75644	76138	75606	75783	193670	53114	1
2014.01.21	14:00:00	75791	75791	74950	75019	195570	57899	1
2014.01.21	16:00:00	75019	75289	74996	75289	97260	32140	1
2014.01.22	08:00:00	75367	75644	75305	75544	40040	11074	1
2014.01.22	10:00:00	75552	75999	75235	75961	168690	47523	1
2014.01.22	12:00:00	75961	76177	75775	76099	188680	52828	1
2014.01.22	14:00:00	76107	76639	75822	76524	208550	60365	1
2014.01.22	16:00:00	76524	76670	76277	76446	126100	38184	1
2014.01.23	08:00:00	76022	76223	75691	75814	46640	13808	1
2014.01.23	10:00:00	75799	76840	75783	76547	210530	58075	1
2014.01.23	12:00:00	76554	76724	75444	75513	274440	76340	1
2014.01.23	14:00:00	75513	75799	75289	75351	174640	49645	1
2014.01.23	16:00:00	75351	75367	74803	75066	154080	48479	1
2014.01.24	08:00:00	74580	74580	73939	74433	87710	25840	1
2014.01.24	10:00:00	74433	74803	74009	74719	224030	58273	1
2014.01.24	12:00:00	74703	74773	73446	73461	297110	81895	1
2014.01.24	14:00:00	73469	74148	73461	74047	265860	76992	1
2014.01.24	16:00:00	74047	74101	73793	73986	140770	42732	1
2014.01.27	08:00:00	73986	74348	73700	74302	55130	17527	1
2014.01.27	10:00:00	74287	74587	73839	74086	196910	55525	1
2014.01.27	12:00:00	74078	74495	73515	74294	261190	75563	1
2014.01.27	14:00:00	74302	74441	73461	73585	189810	54558	1
2014.01.27	16:00:00	73592	74518	73577	74518	128970	41263	1
2014.01.28	08:00:00	74672	75050	74595	74989	44500	13503	1
2014.01.28	10:00:00	74981	75112	74611	74911	231510	63667	1
2014.01.28	12:00:00	74904	74950	74464	74495	194780	55934	1
2014.01.28	14:00:00	74510	74734	74094	74163	186180	57586	1
2014.01.28	16:00:00	74171	74364	74017	74364	125290	39819	1
2014.01.29	08:00:00	74379	74495	73561	73793	75170	24263	1
2014.01.29	10:00:00	73801	73978	73183	73291	258350	76210	1
2014.01.29	12:00:00	73291	73808	72883	73762	277750	79605	1
2014.01.29	14:00:00	73770	74047	73608	73669	185640	51053	1
2014.01.29	16:00:00	73669	73916	73106	73345	188940	54821	1
2014.01.30	08:00:00	73407	73893	73191	73500	50290	15223	1
2014.01.30	10:00:00	73507	73955	73029	73847	216210	60093	1
2014.01.30	12:00:00	73847	74364	73207	73392	209700	61665	1
2014.01.30	14:00:00	73399	73970	73207	73268	179610	53249	1
2014.01.30	16:00:00	73276	73284	72736	73237	147950	46939	1
2014.01.31	08:00:00	72728	72921	72281	72350	62110	19683	1
2014.01.31	10:00:00	72350	72898	72242	72690	219710	59764	1
2014.01.31	12:00:00	72690	73068	72304	72975	203490	56449	1
2014.01.31	14:00:00	72975	73423	72852	73338	216050	60024	1
2014.01.31	16:00:00	73330	73855	73183	73747	147910	46557	1
2014.02.03	08:00:00	73284	73284	72790	73099	53990	16055	1
2014.02.03	10:00:00	73099	73469	72929	73091	159770	42573	1
2014.02.03	12:00:00	73091	73145	71803	72150	262650	71093	1
2014.02.03	14:00:00	72142	72250	71471	71486	202320	53351	1
2014.02.03	16:00:00	71494	71594	70962	70962	185030	53847	1
2014.02.04	08:00:00	71239	71880	71239	71787	57810	16289	1
2014.02.04	10:00:00	71803	71980	71417	71926	218160	65012	1
2014.02.04	12:00:00	71926	72235	71610	72181	253860	72978	1
2014.02.04	14:00:00	72181	72775	72065	72651	206600	59847	1
2014.02.04	16:00:00	72643	72929	72435	72435	156640	48055	1
2014.02.05	08:00:00	72289	72435	72026	72273	42720	12454	1
2014.02.05	10:00:00	72281	72852	71857	72258	252870	74628	1
2014.02.05	12:00:00	72242	72474	71479	71610	279180	78009	1
2014.02.05	14:00:00	71617	71980	71355	71517	201900	59710	1
2014.02.05	16:00:00	71517	72173	71494	72119	142250	43279	1
2014.02.06	08:00:00	72343	72705	72335	72466	41260	12496	1
2014.02.06	10:00:00	72458	72790	72181	72597	243330	63497	1
2014.02.06	12:00:00	72597	74055	72559	73723	324100	90281	1
2014.02.06	14:00:00	73731	74271	73654	73777	193440	55062	1
2014.02.06	16:00:00	73777	74040	73608	73870	138440	40881	1
2014.02.07	08:00:00	73870	74148	73716	73993	42010	12034	1
2014.02.07	10:00:00	73986	74611	73361	74333	358270	92774	1
2014.02.07	12:00:00	74341	74533	73546	73862	271830	74518	1
2014.02.07	14:00:00	73862	73947	73484	73762	167490	46619	1
2014.02.07	16:00:00	73770	74549	73662	74549	130280	36669	1
2014.02.10	08:00:00	74348	74464	73801	73901	56320	14408	1
2014.02.10	10:00:00	73901	74117	73716	73986	130310	32754	1
2014.02.10	12:00:00	73978	74387	73453	73461	247780	64463	1
2014.02.10	14:00:00	73477	73839	73245	73731	172860	46950	1
2014.02.10	16:00:00	73731	73816	73407	73816	122940	34866	1
2014.02.11	08:00:00	74148	74487	74132	74271	48800	13623	1
2014.02.11	10:00:00	74287	74418	73677	73731	264930	69980	1
2014.02.11	12:00:00	73716	74811	73453	74595	300400	80859	1
2014.02.11	14:00:00	74603	75112	74487	74989	205580	55813	1
2014.02.11	16:00:00	74981	75135	74634	74765	156890	45996	1
2014.02.12	08:00:00	75016	75168	74750	74948	28140	8172	1
2014.02.12	10:00:00	74955	75024	74300	74567	182170	48937	1
2014.02.12	12:00:00	74567	74970	74331	74346	203810	53010	1
2014.02.12	14:00:00	74354	74552	74026	74186	195670	55921	1
2014.02.12	16:00:00	74179	74468	73630	73745	163640	45961	1
2014.02.13	08:00:00	73402	73524	73310	73417	45330	12608	1
2014.02.13	10:00:00	73425	73425	72526	72755	254960	71220	1
2014.02.13	12:00:00	72755	73090	72587	73090	205050	55591	1
2014.02.13	14:00:00	73090	73303	72831	73181	190640	54253	1
2014.02.13	16:00:00	73173	74133	73143	74133	177230	51815	1
2014.02.14	08:00:00	73813	74255	73775	74102	42340	11731	1
2014.02.14	10:00:00	74110	74369	73638	73737	186330	52454	1
2014.02.14	12:00:00	73729	74506	73501	74239	281830	77190	1
2014.02.14	14:00:00	74239	74453	74049	74247	160430	45942	1
2014.02.14	16:00:00	74247	74376	74110	74232	116720	33450	1
2014.02.17	08:00:00	74323	74453	74148	74270	26110	7336	1
2014.02.17	10:00:00	74278	74445	74057	74361	82240	22176	1
2014.02.17	12:00:00	74361	74369	73783	73920	72550	20561	1
2014.02.17	14:00:00	73920	73942	73600	73706	38850	12111	1
2014.02.17	16:00:00	73706	73714	73021	73021	61070	22746	1
2014.02.18	08:00:00	73234	73250	72762	73036	59730	17697	1
2014.02.18	10:00:00	73029	73432	72640	73029	284210	79240	1
2014.02.18	12:00:00	73036	73394	72808	72899	205080	58587	1
2014.02.18	14:00:00	72899	73029	72503	72572	182970	52159	1
2014.02.18	16:00:00	72557	72633	71498	71498	205780	60575	1
2014.02.19	08:00:00	71323	71460	71026	71186	65450	19832	1
2014.02.19	10:00:00	71178	72024	70874	71978	346140	96387	1
2014.02.19	12:00:00	71970	72123	71460	71658	248660	68989	1
2014.02.19	14:00:00	71673	72481	71171	72168	327400	94634	1
2014.02.19	16:00:00	72161	72625	72062	72267	213420	64285	1
2014.02.20	08:00:00	71993	72031	71628	71795	49500	14083	1
2014.02.20	10:00:00	71795	73074	71666	72229	368210	102518	1
2014.02.20	12:00:00	72206	73059	71993	72640	277110	79559	1
2014.02.20	14:00:00	72633	73318	72625	73105	232070	64716	1
2014.02.20	16:00:00	73097	73128	72572	72739	156430	47257	1
2014.02.21	08:00:00	72747	73006	72503	72975	49490	13676	1
2014.02.21	10:00:00	72983	73486	72336	73387	290050	76802	1
2014.02.21	12:00:00	73387	73630	72785	72816	215470	58434	1
2014.02.21	14:00:00	72816	73105	72587	72998	181250	51574	1
2014.02.21	16:00:00	73006	73181	72587	72876	152180	43786	1
2014.02.24	08:00:00	72724	72975	72602	72770	48200	14221	1
2014.02.24	10:00:00	72762	73120	72503	72793	259460	69519	1
2014.02.24	12:00:00	72793	72907	72191	72816	236650	65804	1
2014.02.24	14:00:00	72823	73189	72640	72884	181480	47300	1
2014.02.24	16:00:00	72892	73181	72473	72473	176940	48757	1
2014.02.25	08:00:00	72275	72366	72107	72321	36970	11156	1
2014.02.25	10:00:00	72336	72747	72146	72244	243660	64696	1
2014.02.25	12:00:00	72244	72321	71681	71719	227350	62437	1
2014.02.25	14:00:00	71727	72161	71689	72008	159760	41481	1
2014.02.25	16:00:00	72008	72024	71552	71757	185680	52487	1
2014.02.26	08:00:00	71909	72138	71864	72001	45350	13128	1
2014.02.26	10:00:00	72001	72244	71270	71415	279150	75583	1
2014.02.26	12:00:00	71415	72336	71376	72161	222820	60566	1
2014.02.26	14:00:00	72168	72260	71727	71925	155710	41280	1
2014.02.26	16:00:00	71925	71932	71354	71788	166730	46080	1
2014.02.27	08:00:00	71719	72244	71605	72184	71080	20123	1
2014.02.27	10:00:00	72176	72633	72123	72343	226740	59310	1
2014.02.27	12:00:00	72351	73234	72153	73128	251510	66431	1
2014.02.27	14:00:00	73128	73516	72876	73364	173580	47316	1
2014.02.27	16:00:00	73371	73402	73067	73242	135710	36157	1
2014.02.28	08:00:00	73097	73752	72991	73569	69840	21266	1
2014.02.28	10:00:00	73577	73684	72267	72884	314140	85124	1
2014.02.28	12:00:00	72884	72960	72244	72389	219360	58378	1
2014.02.28	14:00:00	72389	72503	72153	72404	130750	34645	1
2014.02.28	16:00:00	72397	72610	72054	72488	181300	49411	1
2014.03.05	12:00:00	72389	72389	71597	71765	128550	32695	1
2014.03.05	14:00:00	71757	71765	71392	71430	182730	45634	1
2014.03.05	16:00:00	71422	71651	71293	71293	130110	34250	1
2014.03.06	08:00:00	71574	71788	71574	71711	41700	11297	1
2014.03.06	10:00:00	71704	72252	71346	72138	305130	81821	1
2014.03.06	12:00:00	72146	72640	72123	72519	174940	46403	1
2014.03.06	14:00:00	72519	72854	72115	72153	200320	55979	1
2014.03.06	16:00:00	72153	72351	72115	72305	119470	33214	1
2014.03.07	08:00:00	72047	72184	71750	71879	45990	13584	1
2014.03.07	10:00:00	71879	72511	71605	71955	383280	102424	1
2014.03.07	12:00:00	71948	72077	71514	71894	189510	49717	1
2014.03.07	14:00:00	71902	72016	70836	70950	223060	61694	1
2014.03.07	16:00:00	70950	71087	70661	70889	159150	45280	1
2014.03.10	08:00:00	70691	70737	70204	70402	56770	15111	1
2014.03.10	10:00:00	70402	70577	69465	69640	290700	77873	1
2014.03.10	12:00:00	69633	69876	69549	69747	154720	41124	1
2014.03.10	14:00:00	69747	69846	69290	69633	172600	45878	1
2014.03.10	16:00:00	69625	69975	69473	69930	150250	42281	1
2014.03.11	08:00:00	70074	70569	70074	70440	95840	27162	1
2014.03.11	10:00:00	70432	70691	70014	70577	307600	83707	1
2014.03.11	12:00:00	70585	70630	69915	70265	210740	58812	1
2014.03.11	14:00:00	70257	70265	69579	69816	222460	59169	1
2014.03.11	16:00:00	69816	70250	69678	70189	128800	37619	1
2014.03.12	08:00:00	69785	70029	69640	69823	46250	14263	1
2014.03.12	10:00:00	69816	70379	69732	70158	231630	64694	1
2014.03.12	12:00:00	70143	70470	69960	70280	158420	42388	1
2014.03.12	14:00:00	70272	70425	70059	70097	135360	36719	1
2014.03.12	16:00:00	70097	70638	70021	70638	104660	31395	1
2014.03.13	08:00:00	70417	70684	70387	70615	48230	13879	1
2014.03.13	10:00:00	70615	70790	70105	70227	254500	70387	1
2014.03.13	12:00:00	70242	70303	69450	69503	209160	57692	1
2014.03.13	14:00:00	69503	69808	69366	69564	181770	50993	1
2014.03.13	16:00:00	69564	69762	69458	69717	122800	36857	1
2014.03.14	08:00:00	69648	69869	69442	69541	65740	19601	1
2014.03.14	10:00:00	69557	69899	69214	69313	282910	80243	1
2014.03.14	12:00:00	69313	69412	68879	69351	232280	64902	1
2014.03.14	14:00:00	69359	69397	68856	68894	146170	42534	1
2014.03.14	16:00:00	68887	69100	68757	68978	120760	38164	1
2014.03.17	08:00:00	69199	69366	69138	69267	38800	11373	1
2014.03.17	10:00:00	69244	69701	69222	69374	217760	59427	1
2014.03.17	12:00:00	69366	69488	69046	69115	151630	44480	1
2014.03.17	14:00:00	69123	69283	68864	69145	154250	45009	1
2014.03.17	16:00:00	69145	69229	68902	68902	89180	27092	1
2014.03.18	08:00:00	69153	69290	69024	69252	31900	10352	1
2014.03.18	10:00:00	69252	69816	69001	69633	274650	78748	1
2014.03.18	12:00:00	69640	70356	69595	70326	199780	55138	1
2014.03.18	14:00:00	70341	70706	70204	70623	155420	44765	1
2014.03.18	16:00:00	70623	70874	70501	70843	128860	41395	1
2014.03.19	08:00:00	70645	70790	70585	70661	37490	10723	1
2014.03.19	10:00:00	70661	71163	70318	71125	236320	65777	1
2014.03.19	12:00:00	71118	71460	70965	71445	168190	49942	1
2014.03.19	14:00:00	71445	71757	70988	71514	269800	76241	1
2014.03.19	16:00:00	71506	71582	70996	71224	195310	56090	1
2014.03.20	08:00:00	70813	71026	70684	70882	56880	16185	1
2014.03.20	10:00:00	70882	72283	70645	72054	453110	121977	1
2014.03.20	12:00:00	72054	72496	71955	72435	189860	50655	1
2014.03.20	14:00:00	72420	72816	72176	72656	182370	47882	1
2014.03.20	16:00:00	72656	72663	72001	72031	171420	52895	1
2014.03.21	08:00:00	71369	71582	70973	71346	98610	27184	1
2014.03.21	10:00:00	71361	73021	71331	72945	416530	123023	1
2014.03.21	12:00:00	72960	73295	72793	73021	189470	54180	1
2014.03.21	14:00:00	73029	73082	72412	72945	211170	63645	1
2014.03.21	16:00:00	72937	72937	72336	72831	148750	47036	1
2014.03.24	08:00:00	72686	73158	72640	73067	67110	18805	1
2014.03.24	10:00:00	73074	73219	72580	72861	283930	75609	1
2014.03.24	12:00:00	72869	73204	72595	73036	220390	62410	1
2014.03.24	14:00:00	73036	73775	73006	73455	270860	79697	1
2014.03.24	16:00:00	73448	73859	73371	73859	122920	37411	1
2014.03.25	08:00:00	73128	74057	72968	73920	117050	34831	1
2014.03.25	10:00:00	73927	74727	73402	73668	382350	107169	1
2014.03.25	12:00:00	73676	73973	73333	73828	209870	57320	1
2014.03.25	14:00:00	73821	74080	73547	73607	148980	43859	1
2014.03.25	16:00:00	73607	74026	73569	74011	118390	39620	1
2014.03.26	08:00:00	74102	74422	74049	74285	72020	19378	1
2014.03.26	10:00:00	74285	74643	73889	74323	273870	69308	1
2014.03.26	12:00:00	74323	74468	73828	73942	155410	41144	1
2014.03.26	14:00:00	73958	74049	73409	73630	182920	49915	1
2014.03.26	16:00:00	73623	73699	73280	73554	114240	33138	1
2014.03.27	08:00:00	73813	73813	73128	73387	66470	19096	1
2014.03.27	10:00:00	73371	75481	73364	75450	488840	136280	1
2014.03.27	12:00:00	75458	75755	75062	75245	223570	58832	1
2014.03.27	14:00:00	75260	75983	75237	75724	230430	64439	1
2014.03.27	16:00:00	75732	76425	75671	76402	157880	44523	1
2014.03.28	08:00:00	76227	76607	76067	76356	57920	15142	1
2014.03.28	10:00:00	76356	76813	75907	76074	415660	106986	1
2014.03.28	12:00:00	76090	76516	76052	76151	157450	40914	1
2014.03.28	14:00:00	76151	76470	75846	75960	173290	47165	1
2014.03.28	16:00:00	75960	76295	75861	76143	123250	36090	1
2014.03.31	08:00:00	76295	76722	76257	76577	46670	12228	1
2014.03.31	10:00:00	76577	77034	76371	76745	268130	69146	1
2014.03.31	12:00:00	76745	76920	76531	76767	130970	34234	1
2014.03.31	14:00:00	76767	76965	76539	76691	142050	37451	1
2014.03.31	16:00:00	76684	77034	76646	76935	113660	34339	1
2014.04.01	08:00:00	76783	77354	76714	77285	71740	20319	1
2014.04.01	10:00:00	77300	77422	76044	76090	318460	85454	1
2014.04.01	12:00:00	76090	76592	76082	76341	152640	39820	1
2014.04.01	14:00:00	76333	76790	76227	76630	144100	38996	1
2014.04.01	16:00:00	76630	77179	76501	77179	108890	31700	1
2014.04.02	08:00:00	77011	77179	76828	76844	50250	15085	1
2014.04.02	10:00:00	76844	77894	76691	77856	360200	98912	1
2014.04.02	12:00:00	77864	78953	77727	78732	357380	99418	1
2014.04.02	14:00:00	78724	79021	78427	78991	230230	63459	1
2014.04.02	16:00:00	78983	79219	78831	78831	159180	45905	1
2014.04.03	08:00:00	78747	79105	78526	78991	79670	22138	1
2014.04.03	10:00:00	78998	79470	78031	78359	399540	101769	1
2014.04.03	12:00:00	78359	78838	78252	78503	191380	48336	1
2014.04.03	14:00:00	78511	78732	77932	78199	204090	52641	1
2014.04.03	16:00:00	78191	78778	78016	78778	133050	34889	1
2014.04.04	08:00:00	78755	79920	78701	79737	127360	34913	1
2014.04.04	10:00:00	79760	79904	79128	79341	366800	92579	1
2014.04.04	12:00:00	79356	79470	78831	79067	242820	62333	1
2014.04.04	14:00:00	79052	79311	77993	78214	226580	62127	1
2014.04.04	16:00:00	78222	78305	77902	78305	123240	33921	1
2014.04.07	08:00:00	78275	79470	78191	79128	110410	31633	1
2014.04.07	10:00:00	79135	79569	78656	79265	320030	79321	1
2014.04.07	12:00:00	79280	79547	78831	79014	196150	48831	1
2014.04.07	14:00:00	79014	79653	78915	79615	229900	63681	1
2014.04.07	16:00:00	79608	79798	79493	79691	143570	39435	1
2014.04.08	08:00:00	79790	81245	79790	81191	145210	40446	1
2014.04.08	10:00:00	81199	81549	80133	80643	460630	120155	1
2014.04.08	12:00:00	80643	80803	79052	79166	337720	87559	1
2014.04.08	14:00:00	79166	79303	78382	78542	284290	78739	1
2014.04.08	16:00:00	78542	78808	78328	78580	152780	41687	1
2014.04.09	08:00:00	78884	78915	78206	78321	79840	20584	1
2014.04.09	10:00:00	78305	78427	77255	77643	412660	101674	1
2014.04.09	12:00:00	77651	78077	77430	77757	201470	50297	1
2014.04.09	14:00:00	77772	78717	77437	77605	407020	103428	1
2014.04.09	16:00:00	77590	78549	77468	78549	153590	41970	1
2014.04.10	08:00:00	78245	78549	77917	78001	83510	22567	1
2014.04.10	10:00:00	77978	78701	77483	77498	386380	94962	1
2014.04.10	12:00:00	77498	77795	77377	77727	221240	53823	1
2014.04.10	14:00:00	77742	78100	77392	77514	211800	54402	1
2014.04.10	16:00:00	77506	78024	77262	77970	181420	49612	1
2014.04.11	08:00:00	77445	77712	77171	77384	71900	18999	1
2014.04.11	10:00:00	77361	78503	76950	78435	435190	112274	1
2014.04.11	12:00:00	78435	78602	78077	78435	220240	56820	1
2014.04.11	14:00:00	78443	79105	78252	78838	285240	76049	1
2014.04.11	16:00:00	78838	79174	78701	78892	139780	40315	1
2014.04.14	08:00:00	78930	79425	78671	79174	79470	21841	1
2014.04.14	10:00:00	79181	79478	78214	78496	298140	76603	1
2014.04.14	12:00:00	78488	79234	78450	78846	210750	52471	1
2014.04.14	14:00:00	78846	78884	78161	78374	192400	48961	1
2014.04.14	16:00:00	78374	78854	78305	78762	163360	42874	1
2014.04.15	08:00:00	78732	78770	77849	77932	78860	22939	1
2014.04.15	10:00:00	77917	78298	76562	76615	424570	108543	1
2014.04.15	12:00:00	76607	76851	75953	76349	378110	100449	1
2014.04.15	14:00:00	76349	77011	76280	76950	253970	65891	1
2014.04.15	16:00:00	76958	77102	76706	76965	179200	50539	1
2014.04.16	08:00:00	77506	77656	77040	77529	32250	8159	1
2014.04.16	10:00:00	77521	77641	76853	77416	257050	61159	1
2014.04.16	12:00:00	77408	78032	77303	77791	199180	48812	1
2014.04.16	14:00:00	77799	78002	77326	77957	217120	52549	1
2014.04.16	16:00:00	77964	78212	77694	77882	148920	43180	1
2014.04.17	08:00:00	77461	78805	77461	78325	87280	24799	1
2014.04.17	10:00:00	78317	78332	77393	77934	305640	77243	1
2014.04.17	12:00:00	77934	78475	77746	78332	173180	44654	1
2014.04.17	14:00:00	78340	79451	78317	79211	252270	65020	1
2014.04.17	16:00:00	79203	79722	79203	79459	177530	48847	1
2014.04.22	08:00:00	79759	79849	79046	79399	54640	14308	1
2014.04.22	10:00:00	79376	79909	78685	79166	329380	86103	1
2014.04.22	12:00:00	79151	79294	78768	79038	172110	42509	1
2014.04.22	14:00:00	79038	79264	78723	79128	169530	43439	1
2014.04.22	16:00:00	79143	79241	78873	78933	120000	30609	1
2014.04.23	08:00:00	78963	79008	78490	78753	56260	13859	1
2014.04.23	10:00:00	78753	79016	78362	78730	304530	77457	1
2014.04.23	12:00:00	78730	78745	78122	78467	193760	47226	1
2014.04.23	14:00:00	78467	78678	78287	78475	149790	37760	1
2014.04.23	16:00:00	78467	78813	78332	78813	105990	27485	1
2014.04.24	08:00:00	79068	79143	78783	78828	58000	15715	1
2014.04.24	10:00:00	78828	79001	77829	78302	346970	90875	1
2014.04.24	12:00:00	78295	78655	78197	78588	157160	42522	1
2014.04.24	14:00:00	78588	78685	78152	78505	175240	47973	1
2014.04.24	16:00:00	78505	78978	78445	78903	142330	41226	1
2014.04.25	08:00:00	78497	78618	78062	78197	68310	17939	1
2014.04.25	10:00:00	78190	78452	77739	77844	305900	75481	1
2014.04.25	12:00:00	77852	78175	77544	78017	189170	46903	1
2014.04.25	14:00:00	78009	78272	77852	77957	172250	42452	1
2014.04.25	16:00:00	77964	78212	77934	78077	101380	26698	1
2014.04.28	08:00:00	78257	78347	77461	77686	87050	23828	1
2014.04.28	10:00:00	77694	77761	77108	77454	271830	65656	1
2014.04.28	12:00:00	77454	78054	77446	77987	264330	64959	1
2014.04.28	14:00:00	77987	78024	77499	77912	229290	57401	1
2014.04.28	16:00:00	77912	78287	77822	78114	135030	36057	1
2014.04.29	08:00:00	78467	78843	78407	78783	55530	14794	1
2014.04.29	10:00:00	78783	79684	78445	78993	440210	110639	1
2014.04.29	12:00:00	79008	79421	78941	79301	146010	36507	1
2014.04.29	14:00:00	79301	79369	78715	78805	171140	43280	1
2014.04.29	16:00:00	78805	78873	78558	78760	146230	38291	1
2014.04.30	08:00:00	78850	78918	78032	78287	92480	26436	1
2014.04.30	10:00:00	78280	78655	78069	78287	313930	76246	1
