<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.14	12:00:00	76585	76878	76485	76824	92080	23698	1
2014.01.14	13:00:00	76824	77218	76801	77033	90060	25643	1
2014.01.14	14:00:00	77033	77148	76863	76932	65110	17290	1
2014.01.14	15:00:00	76932	77280	76848	77125	83680	23607	1
2014.01.14	16:00:00	77118	77148	76886	77010	76600	21294	1
2014.01.14	17:00:00	77017	77040	76909	77017	37730	12607	1
2014.01.15	09:00:00	77033	77411	77002	77380	34540	9993	1
2014.01.15	10:00:00	77388	77434	77064	77133	72030	19991	1
2014.01.15	11:00:00	77133	77341	77110	77303	62620	16144	1
2014.01.15	12:00:00	77303	77503	77226	77341	84830	21680	1
2014.01.15	13:00:00	77349	77750	77318	77496	87760	24167	1
2014.01.15	14:00:00	77480	77681	77334	77465	67370	17660	1
2014.01.15	15:00:00	77465	77904	77457	77688	105080	29296	1
2014.01.15	16:00:00	77688	77897	77550	77642	80000	22381	1
2014.01.15	17:00:00	77634	77704	77496	77496	38620	11046	1
2014.01.16	09:00:00	77357	78267	77264	77974	57460	17112	1
2014.01.16	10:00:00	77958	78344	77773	77966	98210	26186	1
2014.01.16	11:00:00	77966	77974	77580	77642	88970	24356	1
2014.01.16	12:00:00	77642	78066	77580	77642	103430	27612	1
2014.01.16	13:00:00	77642	77696	77148	77287	105650	28573	1
2014.01.16	14:00:00	77280	77310	76863	77195	81410	22131	1
2014.01.16	15:00:00	77187	77202	76971	77033	54670	14811	1
2014.01.16	16:00:00	77033	77249	76886	77064	72870	19845	1
2014.01.16	17:00:00	77064	77079	76917	76986	42220	12555	1
2014.01.17	09:00:00	77125	77364	77094	77318	28620	7985	1
2014.01.17	10:00:00	77310	77341	76439	76516	103350	29403	1
2014.01.17	11:00:00	76524	76686	76323	76624	63290	16995	1
2014.01.17	12:00:00	76632	76747	76338	76377	85830	21970	1
2014.01.17	13:00:00	76369	76616	76292	76423	64130	16926	1
2014.01.17	14:00:00	76431	76639	76308	76493	48930	13957	1
2014.01.17	15:00:00	76493	76724	76408	76454	58120	16418	1
2014.01.17	16:00:00	76454	76493	76153	76215	82730	24584	1
2014.01.17	17:00:00	76207	76277	76177	76184	34910	10574	1
2014.01.20	09:00:00	76215	76277	75860	75999	17420	5051	1
2014.01.20	10:00:00	75991	76323	75922	76076	41330	10929	1
2014.01.20	11:00:00	76076	76354	76061	76230	28800	7258	1
2014.01.20	12:00:00	76238	76323	76069	76200	21460	5809	1
2014.01.20	13:00:00	76192	76223	75953	76007	18640	5877	1
2014.01.20	14:00:00	75999	76038	75783	75937	24190	7896	1
2014.01.20	15:00:00	75930	75968	75529	75583	29080	9524	1
2014.01.20	16:00:00	75583	75660	75374	75505	23930	8505	1
2014.01.20	17:00:00	75482	75498	75359	75467	12960	5721	1
2014.01.21	09:00:00	75853	75999	75606	75853	43120	11732	1
2014.01.21	10:00:00	75853	75930	75158	75367	100990	27848	1
2014.01.21	11:00:00	75374	75745	75220	75637	76850	21059	1
2014.01.21	12:00:00	75644	76138	75606	75945	112200	30390	1
2014.01.21	13:00:00	75953	75968	75691	75783	81470	22724	1
2014.01.21	14:00:00	75791	75791	75228	75274	108830	31984	1
2014.01.21	15:00:00	75282	75305	74950	75019	86740	25915	1
2014.01.21	16:00:00	75019	75205	74996	75135	58730	18328	1
2014.01.21	17:00:00	75135	75289	74996	75289	38530	13812	1
2014.01.22	09:00:00	75367	75644	75305	75544	40040	11074	1
2014.01.22	10:00:00	75552	75598	75235	75451	76640	22184	1
2014.01.22	11:00:00	75444	75999	75421	75961	92050	25339	1
2014.01.22	12:00:00	75961	76038	75822	75876	84750	23698	1
2014.01.22	13:00:00	75883	76177	75775	76099	103930	29130	1
2014.01.22	14:00:00	76107	76153	75822	76107	80380	22591	1
2014.01.22	15:00:00	76107	76639	76084	76524	128170	37774	1
2014.01.22	16:00:00	76524	76670	76315	76346	81840	24304	1
2014.01.22	17:00:00	76338	76493	76277	76446	44260	13880	1
2014.01.23	09:00:00	76022	76223	75691	75814	46640	13808	1
2014.01.23	10:00:00	75799	76284	75783	76238	93160	26127	1
2014.01.23	11:00:00	76246	76840	76192	76547	117370	31948	1
2014.01.23	12:00:00	76554	76724	75883	75976	138190	37514	1
2014.01.23	13:00:00	75999	76169	75444	75513	136250	38826	1
2014.01.23	14:00:00	75513	75799	75444	75583	86940	24154	1
2014.01.23	15:00:00	75590	75644	75289	75351	87700	25491	1
2014.01.23	16:00:00	75351	75367	74834	74842	99580	31267	1
2014.01.23	17:00:00	74842	75066	74803	75066	54500	17212	1
2014.01.24	09:00:00	74580	74580	73939	74433	87710	25840	1
2014.01.24	10:00:00	74433	74572	74009	74572	127520	32478	1
2014.01.24	11:00:00	74572	74803	74395	74719	96510	25795	1
2014.01.24	12:00:00	74703	74773	74155	74348	139100	37578	1
2014.01.24	13:00:00	74356	74379	73446	73461	158010	44317	1
2014.01.24	14:00:00	73469	73993	73461	73993	136070	38588	1
2014.01.24	15:00:00	73993	74148	73538	74047	129790	38404	1
2014.01.24	16:00:00	74047	74101	73793	73993	82380	24238	1
2014.01.24	17:00:00	74001	74032	73831	73986	58390	18494	1
2014.01.27	09:00:00	73986	74348	73700	74302	55130	17527	1
2014.01.27	10:00:00	74287	74510	73924	73939	79760	22819	1
2014.01.27	11:00:00	73939	74587	73839	74086	117150	32706	1
2014.01.27	12:00:00	74078	74379	73515	74271	150400	42292	1
2014.01.27	13:00:00	74279	74495	74017	74294	110790	33271	1
2014.01.27	14:00:00	74302	74441	73677	73723	98540	28443	1
2014.01.27	15:00:00	73731	73878	73461	73585	91270	26115	1
2014.01.27	16:00:00	73592	74101	73577	73955	78450	23210	1
2014.01.27	17:00:00	73963	74518	73831	74518	50520	18053	1
2014.01.28	09:00:00	74672	75050	74595	74989	44500	13503	1
2014.01.28	10:00:00	74981	75112	74719	74780	112860	29463	1
2014.01.28	11:00:00	74773	75058	74611	74911	118650	34204	1
2014.01.28	12:00:00	74904	74919	74533	74757	117280	33118	1
2014.01.28	13:00:00	74780	74950	74464	74495	77500	22816	1
2014.01.28	14:00:00	74510	74734	74179	74240	91950	27198	1
2014.01.28	15:00:00	74233	74510	74094	74163	94230	30388	1
2014.01.28	16:00:00	74171	74348	74063	74263	68850	21209	1
2014.01.28	17:00:00	74256	74364	74017	74364	56440	18610	1
2014.01.29	09:00:00	74379	74495	73561	73793	75170	24263	1
2014.01.29	10:00:00	73801	73978	73291	73515	132990	40521	1
2014.01.29	11:00:00	73523	73615	73183	73291	125360	35689	1
2014.01.29	12:00:00	73291	73345	72883	73261	153390	43334	1
2014.01.29	13:00:00	73261	73808	73222	73762	124360	36271	1
2014.01.29	14:00:00	73770	74047	73708	74024	112420	31549	1
2014.01.29	15:00:00	74040	74047	73608	73669	73220	19504	1
2014.01.29	16:00:00	73669	73916	73592	73646	69410	19702	1
2014.01.29	17:00:00	73646	73785	73106	73345	119530	35119	1
2014.01.30	09:00:00	73407	73893	73191	73500	50290	15223	1
2014.01.30	10:00:00	73507	73585	73029	73384	88060	25995	1
2014.01.30	11:00:00	73369	73955	73191	73847	128150	34098	1
2014.01.30	12:00:00	73847	74364	73538	73631	123290	35725	1
2014.01.30	13:00:00	73615	73615	73207	73392	86410	25940	1
2014.01.30	14:00:00	73399	73970	73276	73893	86430	25324	1
2014.01.30	15:00:00	73893	73947	73207	73268	93180	27925	1
2014.01.30	16:00:00	73276	73284	72736	72991	100970	31751	1
2014.01.30	17:00:00	72991	73237	72906	73237	46980	15188	1
2014.01.31	09:00:00	72728	72921	72281	72350	62110	19683	1
2014.01.31	10:00:00	72350	72898	72242	72721	113600	32045	1
2014.01.31	11:00:00	72713	72859	72327	72690	106110	27719	1
2014.01.31	12:00:00	72690	72736	72304	72651	100530	27447	1
2014.01.31	13:00:00	72651	73068	72535	72975	102960	29002	1
2014.01.31	14:00:00	72975	73268	72852	73245	91680	25452	1
2014.01.31	15:00:00	73245	73423	72952	73338	124370	34572	1
2014.01.31	16:00:00	73330	73770	73183	73762	95580	28885	1
2014.01.31	17:00:00	73762	73855	73600	73747	52330	17672	1
2014.02.03	09:00:00	73284	73284	72790	73099	53990	16055	1
2014.02.03	10:00:00	73099	73469	73052	73268	86530	23825	1
2014.02.03	11:00:00	73268	73284	72929	73091	73240	18748	1
2014.02.03	12:00:00	73091	73145	72073	72111	141420	38824	1
2014.02.03	13:00:00	72103	72273	71803	72150	121230	32269	1
2014.02.03	14:00:00	72142	72250	71903	72134	80700	19986	1
2014.02.03	15:00:00	72127	72142	71471	71486	121620	33365	1
2014.02.03	16:00:00	71494	71594	71070	71147	126980	36881	1
2014.02.03	17:00:00	71147	71417	70962	70962	58050	16966	1
2014.02.04	09:00:00	71239	71880	71239	71787	57810	16289	1
2014.02.04	10:00:00	71803	71980	71440	71448	101080	28505	1
2014.02.04	11:00:00	71448	71965	71417	71926	117080	36507	1
2014.02.04	12:00:00	71926	72165	71610	72088	146660	44058	1
2014.02.04	13:00:00	72096	72235	71895	72181	107200	28920	1
2014.02.04	14:00:00	72181	72312	72065	72265	79130	21016	1
2014.02.04	15:00:00	72258	72775	72250	72651	127470	38831	1
2014.02.04	16:00:00	72643	72929	72559	72620	104140	30046	1
2014.02.04	17:00:00	72613	72620	72435	72435	52500	18009	1
2014.02.05	09:00:00	72289	72435	72026	72273	42720	12454	1
2014.02.05	10:00:00	72281	72852	72019	72157	125410	38307	1
2014.02.05	11:00:00	72181	72559	71857	72258	127460	36321	1
2014.02.05	12:00:00	72242	72474	72011	72227	116190	31052	1
2014.02.05	13:00:00	72219	72451	71479	71610	162990	46957	1
2014.02.05	14:00:00	71617	71980	71571	71648	96700	27758	1
2014.02.05	15:00:00	71656	71679	71355	71517	105200	31952	1
2014.02.05	16:00:00	71517	72173	71494	72042	101380	29325	1
2014.02.05	17:00:00	72049	72150	71972	72119	40870	13954	1
2014.02.06	09:00:00	72343	72705	72335	72466	41260	12496	1
2014.02.06	10:00:00	72458	72643	72181	72250	117620	31066	1
2014.02.06	11:00:00	72250	72790	72227	72597	125710	32431	1
2014.02.06	12:00:00	72597	74055	72559	73893	217480	59418	1
2014.02.06	13:00:00	73893	73932	73507	73723	106620	30863	1
2014.02.06	14:00:00	73731	73963	73654	73754	75350	20251	1
2014.02.06	15:00:00	73762	74271	73747	73777	118090	34811	1
2014.02.06	16:00:00	73777	73993	73608	73847	88800	25004	1
2014.02.06	17:00:00	73855	74040	73762	73870	49640	15877	1
2014.02.07	09:00:00	73870	74148	73716	73993	42010	12034	1
2014.02.07	10:00:00	73986	74611	73893	74549	97730	25681	1
2014.02.07	11:00:00	74557	74595	73361	74333	260540	67093	1
2014.02.07	12:00:00	74341	74533	74017	74148	135630	35553	1
2014.02.07	13:00:00	74148	74202	73546	73862	136200	38965	1
2014.02.07	14:00:00	73862	73909	73484	73816	89920	24889	1
2014.02.07	15:00:00	73801	73947	73561	73762	77570	21730	1
2014.02.07	16:00:00	73770	74356	73662	74302	88900	22428	1
2014.02.07	17:00:00	74302	74549	74233	74549	41380	14241	1
2014.02.10	09:00:00	74348	74464	73801	73901	56320	14408	1
2014.02.10	10:00:00	73901	74117	73716	73855	80820	20686	1
2014.02.10	11:00:00	73870	74109	73801	73986	49490	12068	1
2014.02.10	12:00:00	73978	74387	73716	73754	138770	36008	1
2014.02.10	13:00:00	73770	73916	73453	73461	109010	28455	1
2014.02.10	14:00:00	73477	73700	73245	73600	97720	27113	1
2014.02.10	15:00:00	73592	73839	73492	73731	75140	19837	1
2014.02.10	16:00:00	73731	73770	73407	73600	83270	22922	1
2014.02.10	17:00:00	73592	73816	73585	73816	39670	11944	1
2014.02.11	09:00:00	74148	74487	74132	74271	48800	13623	1
2014.02.11	10:00:00	74287	74364	74009	74194	98220	25866	1
2014.02.11	11:00:00	74202	74418	73677	73731	166710	44114	1
2014.02.11	12:00:00	73716	73955	73453	73839	151740	40329	1
2014.02.11	13:00:00	73839	74811	73762	74595	148660	40530	1
2014.02.11	14:00:00	74603	75027	74487	74873	104540	29455	1
2014.02.11	15:00:00	74873	75112	74703	74989	101040	26358	1
2014.02.11	16:00:00	74981	75135	74672	74811	100250	28341	1
2014.02.11	17:00:00	74803	74888	74634	74765	56640	17655	1
2014.02.12	09:00:00	75016	75168	74750	74948	28140	8172	1
2014.02.12	10:00:00	74955	75024	74407	74506	81110	21890	1
2014.02.12	11:00:00	74498	74856	74300	74567	101060	27047	1
2014.02.12	12:00:00	74567	74970	74552	74849	111110	28031	1
2014.02.12	13:00:00	74849	74864	74331	74346	92700	24979	1
2014.02.12	14:00:00	74354	74552	74133	74232	108470	30907	1
2014.02.12	15:00:00	74224	74354	74026	74186	87200	25014	1
2014.02.12	16:00:00	74179	74415	74125	74338	88980	23524	1
2014.02.12	17:00:00	74346	74468	73630	73745	74660	22437	1
2014.02.13	09:00:00	73402	73524	73310	73417	45330	12608	1
2014.02.13	10:00:00	73425	73425	72755	72945	144050	40716	1
2014.02.13	11:00:00	72945	72968	72526	72755	110910	30504	1
2014.02.13	12:00:00	72755	72937	72587	72838	111340	29019	1
2014.02.13	13:00:00	72838	73090	72816	73090	93710	26572	1
2014.02.13	14:00:00	73090	73265	72892	72975	99760	27893	1
2014.02.13	15:00:00	72975	73303	72831	73181	90880	26360	1
2014.02.13	16:00:00	73173	73798	73143	73722	120230	33727	1
2014.02.13	17:00:00	73714	74133	73638	74133	57000	18088	1
2014.02.14	09:00:00	73813	74255	73775	74102	42340	11731	1
2014.02.14	10:00:00	74110	74369	73882	73897	88460	23819	1
2014.02.14	11:00:00	73904	73996	73638	73737	97870	28635	1
2014.02.14	12:00:00	73729	73927	73501	73737	123070	33907	1
2014.02.14	13:00:00	73745	74506	73646	74239	158760	43283	1
2014.02.14	14:00:00	74239	74407	74049	74179	92620	26130	1
2014.02.14	15:00:00	74179	74453	74072	74247	67810	19812	1
2014.02.14	16:00:00	74247	74376	74110	74255	69850	18670	1
2014.02.14	17:00:00	74255	74316	74133	74232	46870	14780	1
2014.02.17	09:00:00	74323	74453	74148	74270	26110	7336	1
2014.02.17	10:00:00	74278	74354	74057	74209	43950	11856	1
2014.02.17	11:00:00	74209	74445	74102	74361	38290	10320	1
2014.02.17	12:00:00	74361	74369	73790	73981	50200	13860	1
2014.02.17	13:00:00	73973	74011	73783	73920	22350	6701	1
2014.02.17	14:00:00	73920	73942	73646	73714	20620	6405	1
2014.02.17	15:00:00	73706	73783	73600	73706	18230	5706	1
2014.02.17	16:00:00	73706	73714	73113	73158	44390	16052	1
2014.02.17	17:00:00	73158	73265	73021	73021	16680	6694	1
2014.02.18	09:00:00	73234	73250	72762	73036	59730	17697	1
2014.02.18	10:00:00	73029	73219	72640	72816	121310	33638	1
2014.02.18	11:00:00	72816	73432	72785	73029	162900	45602	1
2014.02.18	12:00:00	73036	73280	72808	73120	107490	30479	1
2014.02.18	13:00:00	73128	73394	72892	72899	97590	28108	1
2014.02.18	14:00:00	72899	73029	72694	72945	83620	24164	1
2014.02.18	15:00:00	72945	72953	72503	72572	99350	27995	1
2014.02.18	16:00:00	72557	72633	71772	71780	129350	37225	1
2014.02.18	17:00:00	71780	71795	71498	71498	76430	23350	1
2014.02.19	09:00:00	71323	71460	71026	71186	65450	19832	1
2014.02.19	10:00:00	71178	71635	71072	71407	138960	40148	1
2014.02.19	11:00:00	71407	72024	70874	71978	207180	56239	1
2014.02.19	12:00:00	71970	72123	71567	71780	147970	40922	1
2014.02.19	13:00:00	71780	71925	71460	71658	100690	28067	1
2014.02.19	14:00:00	71673	71788	71171	71750	171350	49841	1
2014.02.19	15:00:00	71750	72481	71681	72168	156050	44793	1
2014.02.19	16:00:00	72161	72595	72062	72404	150710	44404	1
2014.02.19	17:00:00	72412	72625	72191	72267	62710	19881	1
2014.02.20	09:00:00	71993	72031	71628	71795	49500	14083	1
2014.02.20	10:00:00	71795	72252	71666	72191	123800	33625	1
2014.02.20	11:00:00	72199	73074	72062	72229	244410	68893	1
2014.02.20	12:00:00	72206	73059	71993	72953	176910	51269	1
2014.02.20	13:00:00	72953	72983	72404	72640	100200	28290	1
2014.02.20	14:00:00	72633	73257	72625	73151	147890	42076	1
2014.02.20	15:00:00	73151	73318	72975	73105	84180	22640	1
2014.02.20	16:00:00	73097	73128	72739	72892	106930	30886	1
2014.02.20	17:00:00	72892	72892	72572	72739	49500	16371	1
2014.02.21	09:00:00	72747	73006	72503	72975	49490	13676	1
2014.02.21	10:00:00	72983	73082	72336	72458	121060	32503	1
2014.02.21	11:00:00	72450	73486	72427	73387	168990	44299	1
2014.02.21	12:00:00	73387	73630	72945	72991	138810	37906	1
2014.02.21	13:00:00	72998	73234	72785	72816	76660	20528	1
2014.02.21	14:00:00	72816	73006	72587	72755	91310	25489	1
2014.02.21	15:00:00	72755	73105	72686	72998	89940	26085	1
2014.02.21	16:00:00	73006	73181	72587	72983	105460	29633	1
2014.02.21	17:00:00	72991	73082	72762	72876	46720	14153	1
2014.02.24	09:00:00	72724	72975	72602	72770	48200	14221	1
2014.02.24	10:00:00	72762	73120	72640	72907	101010	26125	1
2014.02.24	11:00:00	72922	73014	72503	72793	158450	43394	1
2014.02.24	12:00:00	72793	72808	72191	72465	144670	40409	1
2014.02.24	13:00:00	72473	72907	72427	72816	91980	25395	1
2014.02.24	14:00:00	72823	73189	72686	72998	87790	23311	1
2014.02.24	15:00:00	72998	73036	72640	72884	93690	23989	1
2014.02.24	16:00:00	72892	73181	72800	72846	105460	28341	1
2014.02.24	17:00:00	72838	72937	72473	72473	71480	20416	1
2014.02.25	09:00:00	72275	72366	72107	72321	36970	11156	1
2014.02.25	10:00:00	72336	72519	72191	72488	84260	22638	1
2014.02.25	11:00:00	72496	72747	72146	72244	159400	42058	1
2014.02.25	12:00:00	72244	72321	71970	72085	120530	32599	1
2014.02.25	13:00:00	72092	72298	71681	71719	106820	29838	1
2014.02.25	14:00:00	71727	71902	71689	71795	64650	16591	1
2014.02.25	15:00:00	71795	72161	71734	72008	95110	24890	1
2014.02.25	16:00:00	72008	72024	71574	71871	120940	33715	1
2014.02.25	17:00:00	71864	71894	71552	71757	64740	18772	1
2014.02.26	09:00:00	71909	72138	71864	72001	45350	13128	1
2014.02.26	10:00:00	72001	72115	71719	71986	109930	29813	1
2014.02.26	11:00:00	71978	72244	71270	71415	169220	45770	1
2014.02.26	12:00:00	71415	72031	71376	71803	132010	36015	1
2014.02.26	13:00:00	71795	72336	71795	72161	90810	24551	1
2014.02.26	14:00:00	72168	72260	71887	71940	69560	18467	1
2014.02.26	15:00:00	71932	72031	71727	71925	86150	22813	1
2014.02.26	16:00:00	71925	71932	71354	71597	117120	31190	1
2014.02.26	17:00:00	71597	71788	71460	71788	49610	14890	1
2014.02.27	09:00:00	71719	72244	71605	72184	71080	20123	1
2014.02.27	10:00:00	72176	72465	72123	72427	98650	25490	1
2014.02.27	11:00:00	72420	72633	72146	72343	128090	33820	1
2014.02.27	12:00:00	72351	72808	72153	72709	127070	33256	1
2014.02.27	13:00:00	72709	73234	72701	73128	124440	33175	1
2014.02.27	14:00:00	73128	73212	72876	73090	62760	17378	1
2014.02.27	15:00:00	73082	73516	73082	73364	110820	29938	1
2014.02.27	16:00:00	73371	73394	73067	73204	84500	21347	1
2014.02.27	17:00:00	73204	73402	73151	73242	51210	14810	1
2014.02.28	09:00:00	73097	73752	72991	73569	69840	21266	1
2014.02.28	10:00:00	73577	73684	72602	72610	139110	39683	1
2014.02.28	11:00:00	72610	72922	72267	72884	175030	45441	1
2014.02.28	12:00:00	72884	72960	72382	72382	126090	32296	1
2014.02.28	13:00:00	72389	72656	72244	72389	93270	26082	1
2014.02.28	14:00:00	72389	72503	72153	72298	74250	20027	1
2014.02.28	15:00:00	72298	72465	72222	72404	56500	14618	1
2014.02.28	16:00:00	72397	72610	72054	72267	92630	25550	1
2014.02.28	17:00:00	72260	72519	72107	72488	88670	23861	1
2014.03.05	13:00:00	72389	72389	71597	71765	128550	32695	1
2014.03.05	14:00:00	71757	71765	71392	71696	116940	28466	1
2014.03.05	15:00:00	71696	71719	71407	71430	65790	17168	1
2014.03.05	16:00:00	71422	71651	71308	71468	91590	23423	1
2014.03.05	17:00:00	71468	71529	71293	71293	38520	10827	1
2014.03.06	09:00:00	71574	71788	71574	71711	41700	11297	1
